article_id,title,chị,phim,nước,con,ai,người,gia,austin,nhân,dùng,nghiệp,huế,của,giá,ống,trong,hành,phở,trị,ngắn,chatgpt,thịt,rửa,sản,xương,tù,trợ,cô,sôi,nhiều,phát,vị,nghề,công,mẹ,hỗ,chuyên,năm,đi,doanh,hệ,hội,tôi,rau,thuốc,bão,việc,nghệ,vy,triển,mỡ,hàng,đồng,tạo,lai,giúp,thế,làng,sống,di,ăn,cây,nói,hơn,năng,hóa,việt,tuổi,đất,cao,ông,trồng,thể,phân,tỉnh,lực,định,dụng,tinh,bệnh,trung,anh,nghìn,củ,hoặc,đầu,mùi,động,giữ,đổ,toàn,lũ,bò,ứng,mới,nam,vườn,truyền,gừng,tin
doi-song_url_001,Tại sao không đổ nước sôi vào bồn rửa?,0.0,0.0,0.232,0.0,0.0,0.0191,0.0224,0.0,0.0,0.0352,0.0,0.0,0.0,0.0143,0.4224,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.0,0.0,0.0,0.0,0.0,0.2969,0.0294,0.0,0.0159,0.0,0.0,0.0,0.0,0.0165,0.0,0.0138,0.0,0.0302,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,0.0,0.0,0.2137,0.0,0.011,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0377,0.0,0.0,0.0519,0.0138,0.0304,0.0,0.0,0.0,0.036,0.0,0.0,0.0409,0.0194,0.0,0.0,0.0112,0.0561,0.0,0.0,0.0,0.0,0.0,0.0,0.1064,0.0103,0.0356,0.0,0.0,0.097,0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doi-song_url_002,"Cách nấu phở bò truyền thống, chuẩn vị Hà Nội",0.0,0.0,0.164,0.0,0.0,0.0,0.0323,0.0,0.0,0.1017,0.0,0.0,0.0148,0.0,0.0,0.0385,0.0972,0.416,0.0,0.0,0.0,0.3553,0.0964,0.0,0.3599,0.0,0.0,0.0,0.0572,0.0057,0.0,0.0921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0068,0.0,0.0,0.0,0.0618,0.0,0.0064,0.04,0.0,0.0254,0.0081,0.0,0.0,0.0,0.0436,0.0,0.0,0.006,0.0,0.0088,0.0097,0.0,0.0,0.0069,0.0,0.0,0.0059,0.0,0.0,0.0,0.0065,0.0,0.0232,0.0,0.0071,0.0,0.0,0.0429,0.0264,0.0059,0.1854,0.0,0.01,0.014,0.0077,0.0,0.217,0.0098,0.0157,0.0246,0.0,0.021,0.2121,0.0
doi-song_url_003,Bi kịch nữ quản giáo sa lưới tình tù nhân Anh,0.0,0.0,0.0117,0.0442,0.0,0.0346,0.0507,0.5397,0.1515,0.0159,0.0,0.0,0.0387,0.013,0.0,0.068,0.0938,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.3584,0.0156,0.3195,0.0,0.0266,0.0115,0.0144,0.0245,0.018,0.0216,0.0172,0.0,0.0758,0.0,0.0,0.0822,0.0122,0.1027,0.0,0.0,0.0,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.0,0.0133,0.0,0.0,0.0465,0.0377,0.0,0.0,0.0365,0.0377,0.0,0.0,0.0,0.0394,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0131,0.0203,0.0,0.0364,0.0,0.0,0.0994,0.0,0.0,0.0138,0.0466,0.0,0.0099,0.047,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416
doi-song_url_004,Bội thực phim 'tổng tài bị đánh thuốc',0.0,0.6645,0.0103,0.0389,0.0,0.0685,0.0713,0.0,0.0476,0.0561,0.0,0.0,0.0272,0.0114,0.0,0.0664,0.0103,0.0,0.0126,0.3532,0.0,0.0,0.0,0.0747,0.0,0.0,0.0,0.0,0.0,0.0312,0.0405,0.0,0.0,0.0158,0.038,0.0,0.0396,0.0333,0.044,0.0,0.0361,0.086,0.0129,0.0,0.1296,0.0,0.0,0.0,0.0,0.0255,0.0,0.0394,0.0088,0.011,0.0,0.0,0.0,0.0,0.0136,0.0,0.015,0.0,0.0321,0.0166,0.0,0.0,0.0,0.0461,0.0,0.0287,0.0112,0.0,0.0326,0.031,0.0,0.0,0.0268,0.0112,0.0,0.0,0.0591,0.0218,0.0205,0.0,0.0364,0.0164,0.0,0.0087,0.0,0.0,0.0106,0.0,0.0,0.027,0.0,0.0226,0.0,0.0435,0.0,0.0609
doi-song_url_005,Hệ lụy khi coi ChatGPT là 'chuyên gia biết tuốt',0.0,0.0,0.0107,0.0808,0.4588,0.1108,0.1391,0.0,0.0198,0.1896,0.0,0.0,0.0567,0.0475,0.0,0.0346,0.0,0.0,0.0,0.0,0.3803,0.0,0.0,0.0129,0.0,0.0,0.0429,0.0172,0.0,0.0406,0.0421,0.0,0.0,0.0739,0.0198,0.0,0.1372,0.026,0.0572,0.0,0.0,0.0112,0.0134,0.0,0.0674,0.0,0.0195,0.0438,0.0,0.0398,0.0,0.041,0.0,0.0115,0.0,0.0121,0.0347,0.0,0.0283,0.0,0.0312,0.0211,0.0668,0.0345,0.0,0.0252,0.0278,0.084,0.0329,0.01,0.0698,0.0,0.0594,0.0323,0.0,0.012,0.0093,0.0814,0.0,0.089,0.0307,0.0795,0.0,0.0,0.0252,0.0256,0.0,0.0454,0.0,0.0,0.0331,0.0,0.0,0.028,0.0225,0.0235,0.0,0.0151,0.0,0.0887
doi-song_url_006,Cõng con vượt lũ đi chữa bệnh,0.5844,0.0,0.0969,0.3203,0.02,0.0448,0.0105,0.0,0.0224,0.0,0.0,0.1892,0.0241,0.0134,0.0,0.0235,0.0121,0.0,0.0739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162,0.0195,0.0,0.0276,0.0119,0.0,0.0,0.0093,0.2459,0.0178,0.0,0.0392,0.0518,0.0,0.0,0.0,0.0759,0.0,0.0763,0.0258,0.0221,0.0,0.0,0.0,0.0,0.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0378,0.0,0.0,0.0,0.0,0.0679,0.0,0.0338,0.0,0.0,0.0096,0.0,0.0,0.0,0.0105,0.0,0.0,0.1007,0.0116,0.0,0.0,0.0,0.0,0.0386,0.0,0.0,0.0,0.0,0.0,0.1423,0.0,0.0,0.0127,0.0,0.0,0.0171,0.0,0.0
doi-song_url_007,Nutifood trao 10 tỷ đồng hỗ trợ Gia Lai sau bão,0.0,0.0,0.0477,0.0401,0.0262,0.1295,0.1241,0.0,0.0147,0.0217,0.0763,0.0,0.0632,0.053,0.0,0.0822,0.0479,0.0,0.0583,0.0321,0.0,0.0,0.0,0.0385,0.0,0.0,0.1701,0.0,0.0,0.0725,0.0469,0.0393,0.0,0.061,0.0,0.1869,0.0,0.0644,0.0341,0.0711,0.0186,0.0665,0.02,0.0,0.0,0.2374,0.0145,0.0,0.0,0.0395,0.0,0.0609,0.1498,0.0,0.2078,0.0541,0.0172,0.0,0.0632,0.0,0.0,0.0626,0.0166,0.0256,0.0,0.0,0.0621,0.0,0.0,0.0148,0.0346,0.0408,0.0378,0.024,0.2415,0.0178,0.0138,0.0,0.0495,0.0,0.0457,0.0,0.1268,0.0,0.0187,0.0,0.0,0.027,0.0,0.0299,0.0329,0.0748,0.0,0.0,0.0,0.0524,0.0,0.0,0.0,0.0
doi-song_url_008,Chuyên gia bàn việc sáng tạo và phát triển làng nghề Huế,0.0,0.0,0.0,0.0,0.0,0.0207,0.0484,0.0,0.1421,0.0381,0.0837,0.2545,0.0832,0.093,0.0,0.018,0.042,0.0,0.1023,0.0,0.0,0.0,0.0,0.2365,0.0,0.0,0.0187,0.0,0.0,0.0318,0.0549,0.0,0.234,0.0643,0.0,0.0205,0.0537,0.0226,0.0,0.187,0.0491,0.0583,0.0,0.0,0.0,0.0,0.0254,0.1907,0.0,0.0866,0.0,0.0267,0.0478,0.1497,0.026,0.0475,0.0302,0.265,0.1109,0.2249,0.0,0.0,0.0145,0.0,0.0149,0.1646,0.0363,0.0,0.0,0.026,0.091,0.0,0.0221,0.021,0.0,0.0624,0.0485,0.0152,0.1302,0.0,0.0134,0.0148,0.0278,0.0,0.0,0.0111,0.0,0.0474,0.1497,0.0,0.0,0.0,0.0,0.0366,0.0882,0.0153,0.0,0.0787,0.0,0.0
doi-song_url_009,VietnamWorks đồng hành cùng nhân sự hiện đại nâng cấp sự nghiệp,0.0,0.0,0.0,0.0438,0.0574,0.1158,0.0302,0.0,0.0966,0.0237,0.2919,0.0,0.0921,0.1545,0.0,0.0562,0.1046,0.0,0.1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0929,0.0,0.0,0.0264,0.1197,0.1718,0.0729,0.0801,0.0,0.0766,0.0669,0.0282,0.1117,0.0518,0.0815,0.0727,0.0218,0.0,0.0,0.0,0.1109,0.0475,0.0,0.0863,0.0,0.05,0.0298,0.0186,0.0324,0.0789,0.1503,0.0,0.0,0.0,0.0,0.0,0.0181,0.056,0.2229,0.0205,0.1132,0.0,0.0,0.0485,0.0378,0.0,0.0276,0.0262,0.0,0.136,0.0756,0.0756,0.0,0.0,0.0666,0.0185,0.0346,0.0,0.0,0.0277,0.0,0.0737,0.0,0.0,0.0359,0.0,0.0,0.1139,0.0549,0.0764,0.0,0.0245,0.0,0.0206
doi-song_url_011,Khu vườn sân thượng giúp hết lo 'bão giá',0.5333,0.0,0.0099,0.0,0.0,0.0147,0.0215,0.0,0.0046,0.0135,0.0,0.0,0.0394,0.0275,0.0,0.0064,0.01,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0098,0.0,0.0,0.0076,0.0,0.0,0.0,0.0241,0.0,0.0,0.0116,0.0,0.0498,0.2587,0.0208,0.0212,0.0181,0.0,0.2805,0.0,0.0,0.019,0.017,0.0106,0.0,0.0338,0.0107,0.0,0.0,0.0,0.0797,0.1758,0.031,0.024,0.0,0.0,0.0,0.0111,0.2135,0.0185,0.0,0.2034,0.0079,0.0898,0.0,0.0,0.0172,0.0,0.0,0.0495,0.0,0.0,0.0198,0.1856,0.0,0.0396,0.0,0.0084,0.0133,0.056,0.0307,0.0,0.0,0.0,0.0209,0.0,0.2139,0.014,0.0,0.0
